Details,Posting Date,Description,Amount,Type,Balance
DEBIT,08/01/2024,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,08/06/2024,PG&E ELECTRIC PAYMENT,-181.35,ACH_DEBIT,
DEBIT,09/01/2024,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,09/06/2024,PG&E ELECTRIC PAYMENT,-111.04,ACH_DEBIT,
DEBIT,10/01/2024,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,10/06/2024,PG&E ELECTRIC PAYMENT,-106.44,ACH_DEBIT,
DEBIT,11/01/2024,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,11/06/2024,PG&E ELECTRIC PAYMENT,-170.39,ACH_DEBIT,
DEBIT,12/01/2024,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,12/06/2024,PG&E ELECTRIC PAYMENT,-165.41,ACH_DEBIT,
DEBIT,01/01/2025,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,01/06/2025,PG&E ELECTRIC PAYMENT,-113.06,ACH_DEBIT,
DEBIT,02/01/2025,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,02/06/2025,PG&E ELECTRIC PAYMENT,-126.97,ACH_DEBIT,
DEBIT,03/01/2025,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,03/06/2025,PG&E ELECTRIC PAYMENT,-91.20,ACH_DEBIT,
DEBIT,04/01/2025,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,04/06/2025,PG&E ELECTRIC PAYMENT,-173.07,ACH_DEBIT,
DEBIT,05/01/2025,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,05/06/2025,PG&E ELECTRIC PAYMENT,-152.35,ACH_DEBIT,
DEBIT,06/01/2025,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,06/06/2025,PG&E ELECTRIC PAYMENT,-190.93,ACH_DEBIT,
DEBIT,07/01/2025,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,07/06/2025,PG&E ELECTRIC PAYMENT,-199.95,ACH_DEBIT,
DEBIT,08/01/2025,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,08/06/2025,PG&E ELECTRIC PAYMENT,-152.22,ACH_DEBIT,
DEBIT,09/01/2025,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,09/06/2025,PG&E ELECTRIC PAYMENT,-131.72,ACH_DEBIT,
DEBIT,10/01/2025,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,10/06/2025,PG&E ELECTRIC PAYMENT,-123.81,ACH_DEBIT,
DEBIT,11/01/2025,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,11/06/2025,PG&E ELECTRIC PAYMENT,-166.70,ACH_DEBIT,
DEBIT,12/01/2025,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,12/06/2025,PG&E ELECTRIC PAYMENT,-203.48,ACH_DEBIT,
DEBIT,01/01/2026,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,01/06/2026,PG&E ELECTRIC PAYMENT,-100.84,ACH_DEBIT,
DEBIT,02/01/2026,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,02/06/2026,PG&E ELECTRIC PAYMENT,-139.14,ACH_DEBIT,
DEBIT,03/01/2026,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,03/06/2026,PG&E ELECTRIC PAYMENT,-181.56,ACH_DEBIT,
DEBIT,04/01/2026,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,04/06/2026,PG&E ELECTRIC PAYMENT,-105.99,ACH_DEBIT,
DEBIT,05/01/2026,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,05/06/2026,PG&E ELECTRIC PAYMENT,-169.86,ACH_DEBIT,
DEBIT,06/01/2026,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,06/06/2026,PG&E ELECTRIC PAYMENT,-119.80,ACH_DEBIT,
DEBIT,07/01/2026,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,07/06/2026,PG&E ELECTRIC PAYMENT,-157.58,ACH_DEBIT,
DEBIT,08/01/2026,OAKRIDGE APARTMENTS RENT,-2200.00,ACH_DEBIT,
DEBIT,08/06/2026,PG&E ELECTRIC PAYMENT,-208.29,ACH_DEBIT,
