Transaction Date,Post Date,Description,Category,Type,Amount,Memo
08/02/2024,08/02/2024,NETFLIX.COM,Entertainment,Sale,-21.79,
08/02/2024,08/02/2024,TRADER JOE'S #451,Groceries,Sale,-46.52,
08/03/2024,08/03/2024,NETFLIX.COM,Entertainment,Sale,-19.86,
08/05/2024,08/05/2024,TRADER JOE'S #451,Groceries,Sale,-75.53,
08/08/2024,08/08/2024,AMZN Mktp US*2K4L,Shopping,Sale,-117.95,
08/14/2024,08/14/2024,SHELL OIL 574,Gas,Sale,-47.05,
08/15/2024,08/15/2024,PAYMENT - THANK YOU,Payment,Payment,691.50,
08/17/2024,08/17/2024,CHIPOTLE 2244,Food & Drink,Sale,-13.36,
08/18/2024,08/18/2024,TRADER JOE'S #451,Groceries,Sale,-48.47,
09/03/2024,09/03/2024,AMZN Mktp US*2K4L,Shopping,Sale,-106.81,
09/04/2024,09/04/2024,AMZN Mktp US*2K4L,Shopping,Sale,-104.02,
09/06/2024,09/06/2024,NETFLIX.COM,Entertainment,Sale,-16.72,
09/08/2024,09/08/2024,CHIPOTLE 2244,Food & Drink,Sale,-11.51,
09/10/2024,09/10/2024,SHELL OIL 574,Gas,Sale,-47.09,
09/15/2024,09/15/2024,PAYMENT - THANK YOU,Payment,Payment,740.20,
09/18/2024,09/18/2024,NETFLIX.COM,Entertainment,Sale,-21.71,
09/18/2024,09/18/2024,SHELL OIL 574,Gas,Sale,-36.24,
09/19/2024,09/19/2024,NETFLIX.COM,Entertainment,Sale,-20.47,
09/19/2024,09/19/2024,TRADER JOE'S #451,Groceries,Sale,-92.70,
09/20/2024,09/20/2024,AMZN Mktp US*2K4L,Shopping,Sale,-46.60,
10/03/2024,10/03/2024,CHIPOTLE 2244,Food & Drink,Sale,-17.32,
10/04/2024,10/04/2024,SHELL OIL 574,Gas,Sale,-50.43,
10/12/2024,10/12/2024,TRADER JOE'S #451,Groceries,Sale,-66.98,
10/15/2024,10/15/2024,PAYMENT - THANK YOU,Payment,Payment,794.55,
10/16/2024,10/16/2024,NETFLIX.COM,Entertainment,Sale,-18.95,
10/17/2024,10/17/2024,CHIPOTLE 2244,Food & Drink,Sale,-16.45,
10/19/2024,10/19/2024,TRADER JOE'S #451,Groceries,Sale,-123.11,
10/20/2024,10/20/2024,SHELL OIL 574,Gas,Sale,-67.29,
10/24/2024,10/24/2024,SHELL OIL 574,Gas,Sale,-48.16,
10/25/2024,10/25/2024,AMZN Mktp US*2K4L,Shopping,Sale,-105.76,
10/25/2024,10/25/2024,NETFLIX.COM,Entertainment,Sale,-18.39,
10/25/2024,10/25/2024,TRADER JOE'S #451,Groceries,Sale,-68.27,
10/26/2024,10/26/2024,TRADER JOE'S #451,Groceries,Sale,-56.18,
11/01/2024,11/01/2024,AMZN Mktp US*2K4L,Shopping,Sale,-170.03,
11/02/2024,11/02/2024,SHELL OIL 574,Gas,Sale,-58.32,
11/04/2024,11/04/2024,AMZN Mktp US*2K4L,Shopping,Sale,-94.94,
11/09/2024,11/09/2024,CHIPOTLE 2244,Food & Drink,Sale,-16.22,
11/10/2024,11/10/2024,NETFLIX.COM,Entertainment,Sale,-21.02,
11/11/2024,11/11/2024,TRADER JOE'S #451,Groceries,Sale,-102.58,
11/12/2024,11/12/2024,AMZN Mktp US*2K4L,Shopping,Sale,-40.23,
11/15/2024,11/15/2024,PAYMENT - THANK YOU,Payment,Payment,509.10,
11/20/2024,11/20/2024,TRADER JOE'S #451,Groceries,Sale,-84.70,
11/21/2024,11/21/2024,NETFLIX.COM,Entertainment,Sale,-20.05,
11/22/2024,11/22/2024,NETFLIX.COM,Entertainment,Sale,-21.75,
11/26/2024,11/26/2024,TRADER JOE'S #451,Groceries,Sale,-81.06,
12/03/2024,12/03/2024,NETFLIX.COM,Entertainment,Sale,-17.23,
12/05/2024,12/05/2024,TRADER JOE'S #451,Groceries,Sale,-106.45,
12/08/2024,12/08/2024,NETFLIX.COM,Entertainment,Sale,-20.61,
12/09/2024,12/09/2024,CHIPOTLE 2244,Food & Drink,Sale,-20.72,
12/12/2024,12/12/2024,SHELL OIL 574,Gas,Sale,-56.58,
12/13/2024,12/13/2024,SHELL OIL 574,Gas,Sale,-66.48,
12/13/2024,12/13/2024,TRADER JOE'S #451,Groceries,Sale,-75.19,
12/15/2024,12/15/2024,CHIPOTLE 2244,Food & Drink,Sale,-15.42,
12/15/2024,12/15/2024,PAYMENT - THANK YOU,Payment,Payment,491.17,
12/16/2024,12/16/2024,AMZN Mktp US*2K4L,Shopping,Sale,-151.62,
12/23/2024,12/23/2024,SHELL OIL 574,Gas,Sale,-46.95,
12/28/2024,12/28/2024,SHELL OIL 574,Gas,Sale,-51.81,
12/28/2024,12/28/2024,TRADER JOE'S #451,Groceries,Sale,-84.69,
01/01/2025,01/01/2025,AMZN Mktp US*2K4L,Shopping,Sale,-107.22,
01/01/2025,01/01/2025,TRADER JOE'S #451,Groceries,Sale,-53.11,
01/03/2025,01/03/2025,NETFLIX.COM,Entertainment,Sale,-22.89,
01/04/2025,01/04/2025,NETFLIX.COM,Entertainment,Sale,-19.37,
01/06/2025,01/06/2025,AMZN Mktp US*2K4L,Shopping,Sale,-30.47,
01/13/2025,01/13/2025,NETFLIX.COM,Entertainment,Sale,-16.44,
01/13/2025,01/13/2025,NETFLIX.COM,Entertainment,Sale,-18.79,
01/15/2025,01/15/2025,PAYMENT - THANK YOU,Payment,Payment,581.80,
01/15/2025,01/15/2025,SHELL OIL 574,Gas,Sale,-64.38,
01/18/2025,01/18/2025,AMZN Mktp US*2K4L,Shopping,Sale,-29.05,
01/18/2025,01/18/2025,TRADER JOE'S #451,Groceries,Sale,-73.23,
01/19/2025,01/19/2025,TRADER JOE'S #451,Groceries,Sale,-68.68,
01/20/2025,01/20/2025,AMZN Mktp US*2K4L,Shopping,Sale,-20.83,
01/20/2025,01/20/2025,CHIPOTLE 2244,Food & Drink,Sale,-18.20,
01/23/2025,01/23/2025,CHIPOTLE 2244,Food & Drink,Sale,-20.45,
02/03/2025,02/03/2025,SHELL OIL 574,Gas,Sale,-37.19,
02/03/2025,02/03/2025,TRADER JOE'S #451,Groceries,Sale,-118.69,
02/05/2025,02/05/2025,CHIPOTLE 2244,Food & Drink,Sale,-17.98,
02/09/2025,02/09/2025,SHELL OIL 574,Gas,Sale,-49.23,
02/12/2025,02/12/2025,CHIPOTLE 2244,Food & Drink,Sale,-17.63,
02/15/2025,02/15/2025,PAYMENT - THANK YOU,Payment,Payment,889.25,
02/16/2025,02/16/2025,CHIPOTLE 2244,Food & Drink,Sale,-12.35,
02/16/2025,02/16/2025,SHELL OIL 574,Gas,Sale,-49.42,
02/17/2025,02/17/2025,NETFLIX.COM,Entertainment,Sale,-16.16,
02/17/2025,02/17/2025,NETFLIX.COM,Entertainment,Sale,-18.53,
02/24/2025,02/24/2025,SHELL OIL 574,Gas,Sale,-44.33,
02/25/2025,02/25/2025,AMZN Mktp US*2K4L,Shopping,Sale,-100.72,
02/28/2025,02/28/2025,CHIPOTLE 2244,Food & Drink,Sale,-16.37,
03/01/2025,03/01/2025,AMZN Mktp US*2K4L,Shopping,Sale,-144.74,
03/06/2025,03/06/2025,CHIPOTLE 2244,Food & Drink,Sale,-14.91,
03/08/2025,03/08/2025,CHIPOTLE 2244,Food & Drink,Sale,-16.86,
03/12/2025,03/12/2025,AMZN Mktp US*2K4L,Shopping,Sale,-134.81,
03/15/2025,03/15/2025,PAYMENT - THANK YOU,Payment,Payment,572.14,
03/16/2025,03/16/2025,AMZN Mktp US*2K4L,Shopping,Sale,-55.54,
03/20/2025,03/20/2025,SHELL OIL 574,Gas,Sale,-61.21,
03/23/2025,03/23/2025,AMZN Mktp US*2K4L,Shopping,Sale,-113.66,
03/23/2025,03/23/2025,TRADER JOE'S #451,Groceries,Sale,-116.09,
03/25/2025,03/25/2025,CHIPOTLE 2244,Food & Drink,Sale,-16.53,
03/25/2025,03/25/2025,SHELL OIL 574,Gas,Sale,-62.69,
03/26/2025,03/26/2025,NETFLIX.COM,Entertainment,Sale,-17.59,
03/27/2025,03/27/2025,NETFLIX.COM,Entertainment,Sale,-18.80,
04/01/2025,04/01/2025,AMZN Mktp US*2K4L,Shopping,Sale,-37.39,
04/03/2025,04/03/2025,AMZN Mktp US*2K4L,Shopping,Sale,-133.77,
04/04/2025,04/04/2025,TRADER JOE'S #451,Groceries,Sale,-60.42,
04/06/2025,04/06/2025,AMZN Mktp US*2K4L,Shopping,Sale,-178.84,
04/06/2025,04/06/2025,NETFLIX.COM,Entertainment,Sale,-19.04,
04/07/2025,04/07/2025,NETFLIX.COM,Entertainment,Sale,-19.35,
04/07/2025,04/07/2025,TRADER JOE'S #451,Groceries,Sale,-70.40,
04/12/2025,04/12/2025,CHIPOTLE 2244,Food & Drink,Sale,-19.80,
04/12/2025,04/12/2025,TRADER JOE'S #451,Groceries,Sale,-47.25,
04/15/2025,04/15/2025,AMZN Mktp US*2K4L,Shopping,Sale,-79.43,
04/15/2025,04/15/2025,PAYMENT - THANK YOU,Payment,Payment,852.43,
04/16/2025,04/16/2025,CHIPOTLE 2244,Food & Drink,Sale,-21.00,
04/20/2025,04/20/2025,CHIPOTLE 2244,Food & Drink,Sale,-20.24,
04/20/2025,04/20/2025,CHIPOTLE 2244,Food & Drink,Sale,-21.84,
04/21/2025,04/21/2025,NETFLIX.COM,Entertainment,Sale,-18.33,
04/26/2025,04/26/2025,NETFLIX.COM,Entertainment,Sale,-20.98,
04/27/2025,04/27/2025,SHELL OIL 574,Gas,Sale,-55.78,
05/01/2025,05/01/2025,AMZN Mktp US*2K4L,Shopping,Sale,-54.31,
05/05/2025,05/05/2025,CHIPOTLE 2244,Food & Drink,Sale,-11.24,
05/05/2025,05/05/2025,CHIPOTLE 2244,Food & Drink,Sale,-17.04,
05/07/2025,05/07/2025,NETFLIX.COM,Entertainment,Sale,-21.78,
05/10/2025,05/10/2025,AMZN Mktp US*2K4L,Shopping,Sale,-96.20,
05/14/2025,05/14/2025,NETFLIX.COM,Entertainment,Sale,-22.91,
05/15/2025,05/15/2025,PAYMENT - THANK YOU,Payment,Payment,781.84,
05/16/2025,05/16/2025,TRADER JOE'S #451,Groceries,Sale,-99.15,
05/17/2025,05/17/2025,SHELL OIL 574,Gas,Sale,-58.98,
05/20/2025,05/20/2025,TRADER JOE'S #451,Groceries,Sale,-114.39,
05/26/2025,05/26/2025,CHIPOTLE 2244,Food & Drink,Sale,-21.68,
06/04/2025,06/04/2025,AMZN Mktp US*2K4L,Shopping,Sale,-105.49,
06/05/2025,06/05/2025,CHIPOTLE 2244,Food & Drink,Sale,-16.76,
06/09/2025,06/09/2025,TRADER JOE'S #451,Groceries,Sale,-88.99,
06/15/2025,06/15/2025,PAYMENT - THANK YOU,Payment,Payment,562.99,
06/16/2025,06/16/2025,AMZN Mktp US*2K4L,Shopping,Sale,-116.01,
06/17/2025,06/17/2025,CHIPOTLE 2244,Food & Drink,Sale,-12.44,
06/17/2025,06/17/2025,CHIPOTLE 2244,Food & Drink,Sale,-15.63,
06/20/2025,06/20/2025,NETFLIX.COM,Entertainment,Sale,-16.03,
06/22/2025,06/22/2025,CHIPOTLE 2244,Food & Drink,Sale,-17.42,
06/24/2025,06/24/2025,TRADER JOE'S #451,Groceries,Sale,-71.84,
06/26/2025,06/26/2025,NETFLIX.COM,Entertainment,Sale,-17.05,
06/27/2025,06/27/2025,TRADER JOE'S #451,Groceries,Sale,-51.80,
06/28/2025,06/28/2025,SHELL OIL 574,Gas,Sale,-47.84,
07/03/2025,07/03/2025,AMZN Mktp US*2K4L,Shopping,Sale,-47.73,
07/03/2025,07/03/2025,CHIPOTLE 2244,Food & Drink,Sale,-15.88,
07/05/2025,07/05/2025,NETFLIX.COM,Entertainment,Sale,-18.92,
07/07/2025,07/07/2025,NETFLIX.COM,Entertainment,Sale,-21.88,
07/07/2025,07/07/2025,TRADER JOE'S #451,Groceries,Sale,-64.92,
07/08/2025,07/08/2025,SHELL OIL 574,Gas,Sale,-57.17,
07/10/2025,07/10/2025,AMZN Mktp US*2K4L,Shopping,Sale,-143.70,
07/15/2025,07/15/2025,AMZN Mktp US*2K4L,Shopping,Sale,-65.08,
07/15/2025,07/15/2025,PAYMENT - THANK YOU,Payment,Payment,848.51,
07/15/2025,07/15/2025,SHELL OIL 574,Gas,Sale,-50.29,
07/18/2025,07/18/2025,CHIPOTLE 2244,Food & Drink,Sale,-11.31,
07/18/2025,07/18/2025,NETFLIX.COM,Entertainment,Sale,-22.25,
07/18/2025,07/18/2025,TRADER JOE'S #451,Groceries,Sale,-45.11,
07/20/2025,07/20/2025,CHIPOTLE 2244,Food & Drink,Sale,-16.63,
07/20/2025,07/20/2025,CHIPOTLE 2244,Food & Drink,Sale,-21.71,
07/22/2025,07/22/2025,AMZN Mktp US*2K4L,Shopping,Sale,-52.43,
07/25/2025,07/25/2025,TRADER JOE'S #451,Groceries,Sale,-48.80,
07/26/2025,07/26/2025,SHELL OIL 574,Gas,Sale,-49.21,
07/26/2025,07/26/2025,TRADER JOE'S #451,Groceries,Sale,-109.88,
08/01/2025,08/01/2025,NETFLIX.COM,Entertainment,Sale,-18.37,
08/03/2025,08/03/2025,NETFLIX.COM,Entertainment,Sale,-21.06,
