date,source,amount,notes
2024-08-15,Acme Corp payroll,3418.34,
2024-08-28,Acme Corp payroll,3751.13,
2024-09-15,Acme Corp payroll,3687.46,
2024-09-28,Acme Corp payroll,3829.04,
2024-10-15,Acme Corp payroll,3578.08,
2024-10-28,Acme Corp payroll,3866.06,
2024-11-15,Acme Corp payroll,3884.37,
2024-11-28,Acme Corp payroll,3435.67,
2024-12-15,Acme Corp payroll,3578.36,
2024-12-28,Acme Corp payroll,3522.36,
2025-01-15,Acme Corp payroll,3815.02,
2025-01-28,Acme Corp payroll,3856.27,
2025-02-15,Acme Corp payroll,3789.56,
2025-02-28,Acme Corp payroll,3834.05,
2025-03-15,Acme Corp payroll,3688.16,
2025-03-28,Acme Corp payroll,3849.02,
2025-04-15,Acme Corp payroll,3545.77,
2025-04-28,Acme Corp payroll,3453.84,
2025-05-15,Acme Corp payroll,3765.47,
2025-05-28,Acme Corp payroll,3623.22,
2025-06-15,Acme Corp payroll,3412.82,
2025-06-28,Acme Corp payroll,3802.25,
2025-07-15,Acme Corp payroll,3467.19,
2025-07-28,Acme Corp payroll,3521.77,
2025-08-15,Acme Corp payroll,3444.29,
2025-08-28,Acme Corp payroll,3709.54,
2025-09-15,Acme Corp payroll,3483.94,
2025-09-28,Acme Corp payroll,3555.96,
2025-10-15,Acme Corp payroll,3677.68,
2025-10-28,Acme Corp payroll,3877.68,
2025-11-15,Acme Corp payroll,3409.73,
2025-11-28,Acme Corp payroll,3863.16,
2025-12-15,Acme Corp payroll,3769.37,
2025-12-28,Acme Corp payroll,3530.71,
2026-01-15,Acme Corp payroll,3818.67,
2026-01-28,Acme Corp payroll,3718.42,
2026-02-15,Acme Corp payroll,3631.97,
2026-02-28,Acme Corp payroll,3519.18,
2026-03-15,Acme Corp payroll,3622.11,
2026-03-28,Acme Corp payroll,3575.35,
2026-04-15,Acme Corp payroll,3446.95,
2026-04-28,Acme Corp payroll,3489.49,
2026-05-15,Acme Corp payroll,3536.51,
2026-05-28,Acme Corp payroll,3632.42,
2026-06-15,Acme Corp payroll,3692.95,
2026-06-28,Acme Corp payroll,3780.76,
2026-07-15,Acme Corp payroll,3455.02,
2026-07-28,Acme Corp payroll,3460.77,
